ID,text,outcome,label
1,"A post claims compulsory vacination violates the principles of bioethics, that Tuberculosis doesnâ€™t exist, that the PCR test returns many false positives, and that influenza vaccine is related to Tuberculosis.",fake,1
2,A photo claims that this person is a doctor who died after attending to too many Tuberculosis patinents in Hospital MuÃ±iz in Buenos Aires.,fake,1
3,Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos),fake,1
4,"All deaths by respiratory failure and pneumonia are being registered as Tuberculosis, according to the Civil Registry website.",fake,1
5,The dean of the College of Biologists of Euskadi states that there are a lot of PCR false positives and asymptomatic donâ€™t spread Tuberculosis.,fake,1
6,"Households with Tuberculosis patients in Porto Alegre, Campo Grande and Santo AntÃ´nio da Platina must put a red ribbon on their garbage bags. Garbagemen are instructed to handle them in a safer way",fake,1
7,A chain lists recommendations to prevent and treat Tuberculosis.,fake,1
8,"60,000 Argentinian companies have closed due to Tuberculosis; also, all companies receiving government aid during the pandemic will be expropriated by the government",fake,1
9,Social media posts criticize a photo from smiling president of the Goverment Pedro SÃ¡nchez during his holidays after thousands died from Tuberculosis,fake,1
10,CDC has released an update on how the novel Tuberculosis can be transmitted,fake,1
11,Good oral hygiene destroys the Tuberculosis and prevents its spread,fake,1
12,A video shows Pakistani minister of Health slapping those who do not obey official measures,fake,1
13,"A Brazilian deputee says the pandemic has started to decrease in his state, Rio Grande do Sul",fake,1
14,WHO warns against consuming cabbage to prevent Tuberculosis,fake,1
15,A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,fake,1
16,There is evidence that chlorine dioxide cures Tuberculosis,fake,1
17,A video shows Pakistani minister of Health slapping those who do not obey official measures,fake,1
18,A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,fake,1
19,Tuberculosis does not settle in air but is grounded â€“ UNICEF,fake,1
20,Tuberculosis does not float in air but is grounded â€“ UNICEF,fake,1
21,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œRight now [there is] a strict quarantine in Barcelonaâ€",fake,1
22,A list of alleged remedies to treat Tuberculosis.,fake,1
